WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	Estimates Start After
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.848	15.916	15.096	14.768	16.179	15.214	11.609	14.658	19.781	25.173	27.790	17.102	34.388	34.642	27.649	14.479	8.648	6.119	5.546	5.405	4.588	4.262	3.499	3.679	3.567	3.791	3.798	4.046	5.985	2.531	3.591	4.913	3.945	3.561	3.492	3.443	3.649	3.453	3.409	3.401	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	26.763	25.793	18.072	36.468	36.983	22.718	11.360	7.481	5.492	6.138	4.767	4.511	3.531	3.986	3.317	3.845	3.763	3.635	5.112	4.257	3.194	4.154	4.684	3.783	3.296	3.658	3.531	3.426	3.419	3.407	3.365	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																											
001	TRADEPCH	World	Trade volume of goods and services		Percent change			3.132	2.599	-2.182	1.486	8.761	3.066	4.466	6.705	8.921	8.031	6.969	4.800	5.927	3.064	9.559	10.081	7.089	10.108	4.869	5.540	11.854	0.144	3.995	5.851	10.930	7.583	9.296	7.884	2.842	-10.606	12.768	6.221	2.818	3.017	4.346	5.258	5.618	5.655	5.736	5.625	
001	TM_RPCH	World	Volume of imports of goods and services		Percent change			1.779	1.527	-2.143	1.688	9.123	3.038	4.929	7.269	8.902	8.385	6.506	4.417	5.637	2.563	10.054	10.139	7.438	9.720	4.926	5.993	11.967	0.177	4.069	5.911	11.230	7.623	8.995	8.029	2.876	-10.851	12.625	6.273	2.746	2.934	4.158	5.169	5.605	5.660	5.808	5.653	
001	TMG_RPCH	World	Volume of imports of goods		Percent change			1.426	0.970	-1.368	2.568	10.312	3.828	5.379	7.007	9.599	7.390	6.348	4.808	6.867	3.521	10.511	10.965	7.124	10.160	5.050	6.460	12.393	-0.377	4.318	6.914	11.611	7.649	9.105	7.510	2.260	-12.020	13.997	6.863	2.267	2.731	4.047	5.270	5.720	5.737	5.926	5.692	
001	TX_RPCH	World	Volume of exports of goods and services		Percent change			4.513	3.665	-2.220	1.289	8.406	3.094	4.011	6.144	8.940	7.675	7.437	5.184	6.215	3.560	9.074	10.023	6.745	10.494	4.812	5.091	11.740	0.112	3.920	5.791	10.629	7.544	9.599	7.738	2.807	-10.358	12.911	6.168	2.889	3.100	4.533	5.346	5.630	5.651	5.663	5.597	
001	TXG_RPCH	World	Volume of exports of goods		Percent change			4.190	3.998	-2.248	2.323	9.126	3.252	2.988	6.173	9.448	7.324	6.287	5.301	6.480	4.240	9.566	10.733	6.330	10.965	4.844	5.540	12.318	-0.281	3.748	6.049	10.080	7.222	9.411	6.768	2.165	-11.442	14.074	6.324	2.984	2.759	4.556	5.257	5.705	5.709	5.696	5.648	
001	TTPCH	World	Terms of trade of goods and services		Percent change																																											
001	TTTPCH	World	Terms of trade of goods		Percent change																																											
001	TXGM_D	World	Export price of manufactures		U.S. dollars; index, 2000=100																																											
001	TXGM_DPCH	World	Export price of manufactures		U.S. dollars; annual percent change																																											
001	LUR	World	Unemployment rate		Percent of total labor force																																											
001	LE	World	Employment		Index, 2000=100																																											
001	GGR_NGDP	World	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government?s net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP																																											
001	GGX_NGDP	World	General government total expenditure	Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.	Percent of GDP																																											
001	GGXCNL_NGDP	World	General government net lending/borrowing	Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.	Percent of GDP																																											
001	GGSB_NPGDP	World	General government structural balance		Percent of potential GDP																																											
001	GGXONLB_NGDP	World	General government primary net lending/borrowing	Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).	Percent of GDP																																											
001	GGXWDN_NGDP	World	General government net debt	Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.	Percent of GDP																																											
001	GGXWDG_NGDP	World	General government gross debt	Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).	Percent of GDP																																											
001	BCA	World	Current account balance	Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income. Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries.	U.S. dollars	Billions		-58.884	-73.358	-88.028	-75.820	-82.815	-86.972	-77.915	-71.762	-72.559	-94.389	-105.703	-128.743	-112.216	-59.469	-60.097	-60.243	-49.328	-6.351	-82.861	-123.326	-175.845	-169.094	-135.002	-62.598	-2.592	33.159	202.956	277.006	183.859	191.140	305.431	370.566	341.877	403.350	486.758	392.636	336.782	326.802	285.410	321.054	
001	BCA_NGDPD	World	Current account balance		Percent of GDP																																											
001	BM	World	Imports of goods and services		U.S. dollars	Billions		-2,306.978	-2,297.747	-2,147.128	-2,091.988	-2,206.122	-2,227.999	-2,462.763	-2,920.412	-3,274.692	-3,545.421	-4,093.675	-4,260.771	-4,687.339	-4,665.424	-5,192.896	-6,242.521	-6,582.320	-6,815.886	-6,766.805	-7,054.959	-7,907.096	-7,659.926	-7,988.041	-9,258.945	-11,254.529	-12,753.220	-14,591.171	-16,923.318	-19,460.103	-15,582.618	-18,523.627	-21,822.903	-22,048.358	-22,496.092	-23,296.787	-24,455.201	-25,919.571	-27,578.822	-29,428.906	-31,320.136	
001	BX	World	Exports of goods and services		U.S. dollars	Billions		2,287.710	2,278.826	2,125.463	2,065.494	2,180.159	2,208.883	2,456.377	2,929.106	3,283.404	3,543.434	4,107.329	4,257.476	4,707.897	4,725.147	5,281.041	6,343.723	6,685.488	6,941.312	6,845.374	7,095.114	7,901.282	7,636.918	8,011.539	9,338.544	11,352.987	12,911.753	14,871.705	17,319.072	19,818.644	15,925.137	18,981.900	22,385.696	22,593.085	23,159.705	24,051.174	25,187.584	26,606.762	28,269.575	30,108.640	32,045.390	
001	BFXP	World	Private financial flows, net	Net private financial flows comprises net private direct investment, net private portfolio flows, and net other private financial flows.	U.S. dollars	Billions																																										
001	BFPP	World	Private portfolio flows, net		U.S. dollars	Billions																																										
001	BFD	World	Direct investment, net		U.S. dollars	Billions																																										
001	BFOP	World	Other private financial flows, net	Net other private financial flows is the difference between net other investment and net other official investment.	U.S. dollars	Billions																																										
001	BFXG	World	Official flows, net		U.S. dollars	Billions																																										
001	BFRA	World	Change in reserves	Measured as flows. Comprises monetary gold, SDRs, reserve position in the Fund, foreign exchange assets, and other claims. Official holdings of gold are valued at SDR 35 an ounce. This convention results in a marked underestimation of reserves for countries that have substantial gold holdings. Securities not included are included in direct investment and portfolio investment. A minus sign indicates an increase.	U.S. dollars	Billions																																										
001	D	World	External debt, total		U.S. dollars	Billions																																										
001	D_NGDPD	World	External debt, total		Percent of GDP																																											
001	D_BX	World	External debt, total		Percent of exports of goods and services																																											
001	DS	World	External debt, total debt service		U.S. dollars	Billions																																										
001	DS_NGDPD	World	External debt, total debt service		Percent of GDP																																											
001	DS_BX	World	External debt, total debt service		Percent of exports of goods and services																																											
001	DSI	World	External debt, total debt service, interest		U.S. dollars	Billions																																										
001	DSI_NGDPD	World	External debt, total debt service, interest		Percent of GDP																																											
001	DSI_BX	World	External debt, total debt service, interest		Percent of exports of goods and services																																											
001	DSP	World	External debt, total debt service, amortization		U.S. dollars	Billions																																										
001	DSP_NGDPD	World	External debt, total debt service, amortization		Percent of GDP																																											
001	DSP_BX	World	External debt, total debt service, amortization		Percent of exports of goods and services																																											
001	PALLFNFW	World	Commodity Price Index includes both Fuel and Non-Fuel Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	54.766	52.441	54.635	59.055	62.036	59.416	47.635	49.830	63.060	58.351	58.143	64.979	80.412	100.000	120.651	134.816	172.225	120.529	152.086	191.889	185.654	182.854	180.311	171.323	165.827	162.527	160.413	158.658	
001	PNFUELW	World	Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices		Index, 2005=100			101.200	90.491	82.544	86.454	85.948	77.183	78.757	88.229	102.438	95.741	94.048	86.227	84.284	84.528	93.349	100.279	99.047	95.703	82.977	76.146	79.076	76.026	76.876	81.647	94.088	100.000	123.078	140.159	151.301	127.438	161.249	190.039	170.988	168.964	163.093	156.684	155.122	154.420	153.686	152.685	
001	PINDUW	World	Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices		Index, 2005=100			72.947	60.709	54.281	61.256	60.698	53.370	56.387	72.080	93.687	90.659	85.951	75.850	74.304	74.936	85.128	94.485	87.108	86.195	71.680	71.261	77.674	72.536	71.321	75.265	89.080	100.000	136.289	154.313	145.676	118.664	169.938	197.756	167.128	163.253	157.789	153.751	151.050	149.995	149.568	148.698	
001	POILAPSP	World	Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel	The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.	U.S. dollars	Units		35.707	34.038	31.544	29.469	28.546	27.371	14.172	18.198	14.769	17.906	22.985	19.368	19.036	16.787	15.948	17.204	20.373	19.268	13.074	17.981	28.234	24.331	24.950	28.892	37.760	53.354	64.273	71.128	97.035	61.777	79.030	104.008	105.007	104.069	104.171	97.916	93.029	89.993	88.107	86.642	
001	POILBRE	World	Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel		U.S. dollars	Units		37.892	36.676	33.418	29.783	28.743	27.611	14.433	18.436	14.975	18.248	23.711	19.982	19.414	16.998	15.826	17.056	20.453	19.116	12.719	17.699	28.308	24.412	24.998	28.853	38.298	54.434	65.390	72.713	97.660	61.861	79.631	110.952	111.960	108.844	108.042	103.030	98.162	94.860	92.836	91.320	
001	POILDUB	World	Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel		U.S. dollars	Units		35.846	34.294	31.757	28.468	27.509	26.508	13.056	16.964	13.360	15.781	20.730	16.607	17.138	14.906	14.832	16.128	18.537	18.102	12.090	17.076	26.085	22.710	23.734	26.733	33.456	49.202	61.432	68.368	93.777	61.755	78.058	106.027	108.919	105.430	104.852	100.445	96.329	93.847	92.043	90.438	
001	POILWTI	World	Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel		U.S. dollars	Units		37.879	36.168	32.670	30.604	29.388	27.992	15.024	19.193	15.972	19.692	24.518	21.512	20.555	18.455	17.183	18.432	22.132	20.585	14.416	19.166	30.315	25.869	26.116	31.095	41.445	56.444	66.053	72.285	99.588	61.690	79.401	95.046	94.143	97.934	99.619	90.274	84.596	81.272	79.441	78.169	
001	PNRGW	World	Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	37.497	33.670	31.987	34.938	40.384	38.187	26.959	34.434	53.691	48.011	47.183	55.228	72.411	100.000	119.231	131.690	184.466	116.486	146.726	192.970	194.234	190.980	190.384	179.888	172.090	167.270	164.349	162.152	
001	POILAPSPW	World	Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh	The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.	Index, 2005=100			66.924	63.797	59.122	55.233	53.503	51.300	26.561	34.109	27.681	33.560	43.080	36.300	35.678	31.463	29.891	32.245	38.185	36.112	24.504	33.701	52.918	45.602	46.763	54.151	70.772	100.000	120.464	133.312	181.870	115.787	148.124	194.939	196.812	195.054	195.245	183.521	174.362	168.671	165.135	162.391	
001	PNGASW	World	Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	38.099	40.460	36.430	39.815	44.563	42.702	34.394	33.774	60.083	60.110	47.971	62.978	69.819	100.000	115.309	116.868	173.657	109.642	113.333	154.308	171.230	164.770	164.907	163.767	163.563	163.665	164.401	165.620	
001	PNGASEU	World	Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	3.810	3.440	2.130	1.900	1.589	2.035	3.008	2.365	2.598	2.312	2.696	2.750	2.670	2.245	1.807	3.454	3.873	2.666	3.486	3.755	5.915	8.213	8.143	13.138	8.855	8.223	10.597	11.981	11.189	10.900	10.900	10.900	10.900	10.900	10.900	
001	PNGASJP	World	Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.744	3.598	3.285	3.557	3.903	3.761	2.754	3.343	5.235	4.669	4.427	4.981	5.891	7.033	8.049	8.411	11.591	7.491	9.381	15.553	18.145	17.300	17.250	17.250	17.250	17.250	17.250	17.250	
001	PNGASUS	World	Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.451	1.751	2.114	1.915	1.704	2.689	2.460	2.088	2.261	4.308	3.959	3.361	5.495	5.908	8.862	6.741	6.976	8.858	3.945	4.389	3.999	2.755	3.720	4.566	4.192	4.125	4.158	4.400	4.800	
001	PCOALW	World	Commodity Coal Price Index includes Australian and South African Coal		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	76.442	75.853	72.975	60.807	63.013	76.986	74.213	68.607	57.450	51.101	52.648	65.303	53.682	56.828	112.608	100.000	104.400	137.556	265.750	148.721	205.943	254.381	202.116	176.805	158.248	148.187	148.187	148.187	148.187	148.187	
001	PCOALAU	World	Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne		U.S. dollars	Units		42.935	50.818	54.768	38.188	30.958	33.750	31.125	27.500	34.875	38.000	39.667	39.667	38.563	31.333	32.300	39.372	38.074	35.099	29.231	25.892	26.250	32.313	27.060	27.954	56.730	51.022	52.596	70.428	136.183	76.976	106.035	130.123	103.247	90.602	79.300	73.800	73.800	73.800	73.800	73.800	
001	PCOALSA	World	Coal, South African export price, US$ per metric tonne		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	32.875	31.500	28.833	26.958	28.563	35.229	33.518	31.349	26.839	24.273	26.570	33.864	26.011	30.076	54.684	46.197	50.694	62.651	120.598	64.683	91.623	116.297	92.920	80.239	78.400	75.100	75.100	75.100	75.100	75.100	
001	PFANDBW	World	Commodity Food and Beverage Price Index includes Food and Beverage Price Indices		Index, 2005=100			129.136	119.947	110.497	111.377	110.917	100.739	100.880	104.172	111.058	100.718	102.006	96.500	94.164	94.023	101.487	106.016	110.866	105.117	94.161	80.982	80.464	79.481	82.375	87.966	99.045	100.000	110.000	126.147	156.871	136.124	152.646	182.400	174.809	174.617	168.343	159.588	159.155	158.800	157.763	156.632	
001	PFOODW	World	Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices		Index, 2005=100			125.055	118.702	108.557	108.002	105.025	95.841	94.246	102.135	110.395	101.123	103.698	98.240	96.590	95.990	98.994	103.797	111.381	102.364	91.424	79.712	80.981	80.982	82.461	88.234	100.599	100.000	110.176	126.455	157.398	134.142	150.091	179.892	175.615	177.565	168.196	158.344	158.477	158.353	157.456	156.462	
001	PCEREW	World	Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley		Index, 2005=100			121.942	127.207	103.260	110.112	107.592	92.036	76.288	73.768	97.834	108.159	95.903	94.591	98.861	92.486	99.157	117.510	140.990	108.789	93.319	81.564	78.845	82.460	94.201	95.360	102.986	100.000	121.298	158.736	222.631	162.381	166.479	231.239	236.376	218.260	173.619	169.410	166.440	169.744	169.071	168.399	
001	PWHEAMT	World	Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne		U.S. dollars	Units		172.726	174.961	160.355	157.416	152.333	135.829	114.916	112.895	145.199	169.243	135.523	128.658	151.161	140.212	149.783	176.960	207.142	159.665	126.096	112.050	114.004	126.805	148.528	146.142	156.882	152.439	191.721	255.206	325.940	223.431	223.674	316.199	313.250	312.231	249.774	244.011	245.477	258.000	256.000	254.000	
001	PMAIZMT	World	Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne		U.S. dollars	Units		125.716	130.604	108.099	135.984	135.820	112.331	87.791	75.521	106.950	111.368	109.280	107.473	104.213	102.040	107.778	123.451	164.523	117.172	101.618	90.294	88.219	89.609	99.333	105.187	111.778	98.406	121.589	163.259	223.248	165.542	186.007	291.781	298.410	258.957	192.069	190.419	187.380	187.380	187.380	187.380	
001	PRICENPQ	World	Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne		U.S. dollars	Units		433.667	482.833	293.375	276.833	252.250	217.417	195.667	214.417	277.250	299.750	270.667	293.667	267.667	237.250	269.458	320.801	338.064	302.469	305.424	248.968	203.695	172.705	191.826	199.461	245.783	287.811	303.515	332.393	700.200	589.376	520.556	551.711	580.236	518.812	407.735	356.000	356.000	356.000	356.000	356.000	
001	PBARL	World	Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne		U.S. dollars	Units		78.229	79.726	63.712	70.891	78.723	58.816	47.560	55.001	70.333	75.139	79.926	78.287	78.675	71.377	72.649	104.012	119.665	97.237	85.054	75.937	77.235	93.936	108.967	104.718	98.989	95.077	116.615	172.381	200.476	128.381	158.374	207.219	238.229	206.360	217.675	233.970	200.200	193.700	192.800	191.900	
001	PVOILW	World	Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices		Index, 2005=100			110.392	107.202	87.665	102.129	110.604	85.953	71.903	76.267	103.344	92.512	86.029	84.721	83.989	90.705	98.748	103.527	113.914	114.545	103.033	77.837	74.406	71.491	82.547	98.821	114.007	100.000	103.425	143.434	192.542	153.973	170.374	209.133	215.859	206.443	197.565	180.525	184.546	182.005	179.592	177.097	
001	PSOYB	World	Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne		U.S. dollars	Units		265.316	261.404	221.290	259.616	257.505	202.979	188.948	195.506	279.724	246.986	219.100	208.779	209.803	230.138	229.510	224.015	277.458	280.603	223.290	174.919	183.052	168.755	188.866	233.208	276.700	223.134	217.454	317.320	453.314	378.549	384.947	484.246	537.762	517.204	482.144	425.810	467.700	467.700	467.700	467.700	
001	PSMEA	World	Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne		U.S. dollars	Units		225.683	225.244	195.434	222.666	191.197	145.411	166.902	184.496	259.845	234.045	192.387	192.332	196.301	216.526	199.013	198.546	266.379	279.875	174.727	152.565	187.170	180.612	183.981	214.656	257.205	205.762	193.975	263.673	367.938	359.270	331.317	378.861	473.284	477.299	462.315	390.675	380.188	380.400	380.400	380.400	
001	PSOIL	World	Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne		U.S. dollars	Units		535.465	493.376	403.262	511.251	647.938	571.603	364.387	366.904	529.660	453.454	492.145	446.693	433.189	503.149	603.037	584.684	544.229	525.857	562.490	392.404	351.821	346.989	409.839	500.283	590.452	495.747	551.496	799.742	1,133.785	787.020	924.828	1,215.820	1,151.752	1,011.113	915.537	918.808	919.500	919.500	919.500	919.500	
001	PROIL	World	Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton		U.S. dollars	Units		572.368	484.714	418.538	501.561	688.345	540.950	359.387	347.333	537.970	476.598	428.487	416.553	405.098	460.883	621.263	632.711	563.070	562.833	630.475	428.688	346.240	391.879	479.183	603.578	713.201	720.966	851.318	1,011.855	1,423.710	856.178	1,011.748	1,366.627	1,239.081	1,080.862	924.100	822.250	822.000	822.000	822.000	822.000	
001	PPOIL	World	Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne		U.S. dollars	Units		481.840	471.579	367.801	414.353	602.283	413.940	212.376	283.030	361.259	289.572	239.508	280.138	325.330	312.142	437.271	537.622	467.152	490.428	600.847	377.277	261.144	238.398	356.744	410.373	434.723	367.687	416.814	719.122	862.918	644.068	859.942	1,076.502	939.834	764.197	820.326	824.613	826.900	768.300	713.100	656.000	
