WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.848	23.624	22.244	21.536	22.723	22.298	22.273	22.858	24.090	24.198	23.834	23.301	22.580	22.428	22.718	23.249	23.665	23.950	23.689	23.471	24.062	23.177	22.531	22.777	23.669	24.181	25.312	25.480	25.019	23.159	24.675	25.620	25.965	26.008	26.441	26.520	25.838	25.812	25.814	25.879	25.999	26.236	26.416	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.408	15.107	14.206	13.349	14.014	13.729	11.678	14.453	19.514	23.007	26.347	17.118	40.453	40.170	31.588	16.143	9.213	6.437	6.291	6.214	4.677	4.625	3.651	3.854	3.767	4.067	4.052	4.286	6.306	2.663	3.673	5.045	4.078	3.662	3.233	2.789	2.799	3.145	3.312	3.291	3.272	3.199	3.226	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	16.511	9.640	18.238	23.055	24.472	25.125	18.521	43.638	42.637	25.677	12.516	7.774	5.891	7.239	5.063	4.811	3.977	4.036	3.606	4.086	4.004	3.909	5.265	4.661	3.156	4.329	4.729	3.949	3.350	2.927	2.859	3.065	3.196	3.246	3.357	3.161	3.207	3.214	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																														
001	TRADEPCH	World	Trade volume of goods and services		Percent change			2.993	3.107	-1.582	1.518	8.632	2.661	4.424	6.441	8.854	8.246	6.861	5.202	5.747	2.982	9.426	9.781	6.718	9.905	4.781	4.882	12.259	0.439	3.858	5.796	11.271	7.790	9.343	8.108	3.065	-10.464	12.524	7.096	2.662	3.630	3.836	2.824	2.389	4.161	4.042	3.917	3.839	3.879	3.985	
001	TM_RPCH	World	Volume of imports of goods and services		Percent change			1.706	2.089	-1.555	1.656	8.856	2.351	5.182	7.149	8.769	8.603	6.748	4.398	5.498	2.214	10.317	9.782	7.127	9.713	4.992	5.510	12.414	0.490	3.819	5.917	11.304	7.952	9.151	8.291	3.197	-10.910	12.436	7.268	2.569	3.450	3.991	2.595	2.463	4.173	4.162	4.091	3.971	4.003	4.070	
001	TMG_RPCH	World	Volume of imports of goods		Percent change			1.322	1.183	-1.558	2.717	10.073	3.309	6.127	7.025	9.781	7.725	6.665	5.150	6.518	2.932	10.831	10.564	7.045	10.272	5.193	6.259	12.651	0.017	3.924	6.526	11.311	7.983	9.212	7.950	2.897	-12.069	13.947	7.315	2.002	3.108	3.151	2.193	2.335	4.481	4.315	4.176	4.041	4.088	4.157	
001	TX_RPCH	World	Volume of exports of goods and services		Percent change			4.284	4.102	-1.607	1.387	8.417	2.961	3.697	5.752	8.938	7.893	6.973	5.998	5.990	3.727	8.574	9.781	6.321	10.092	4.576	4.267	12.106	0.389	3.896	5.676	11.239	7.629	9.534	7.926	2.933	-10.017	12.611	6.927	2.754	3.808	3.683	3.051	2.317	4.149	3.924	3.745	3.706	3.755	3.899	
001	TXG_RPCH	World	Volume of exports of goods		Percent change			4.087	4.456	-2.132	1.866	8.928	3.563	3.283	6.204	9.565	7.529	6.139	5.797	6.617	4.089	9.138	10.474	5.942	10.650	4.471	5.092	12.717	0.139	3.689	6.400	11.106	7.707	9.573	7.354	2.552	-11.241	14.974	6.644	2.637	3.544	3.112	2.453	2.199	4.202	3.858	3.677	3.572	3.614	3.791	
001	TTPCH	World	Terms of trade of goods and services		Percent change																																														
001	TTTPCH	World	Terms of trade of goods		Percent change																																														
001	TXGM_D	World	Export price of manufactures		U.S. dollars; index, 2000=100																																														
001	TXGM_DPCH	World	Export price of manufactures		U.S. dollars; annual percent change																																														
001	LUR	World	Unemployment rate		Percent of total labor force																																														
001	LE	World	Employment		Index, 2000=100																																														
001	GGR_NGDP	World	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government?s net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP																																														
001	GGX_NGDP	World	General government total expenditure	Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.	Percent of GDP																																														
001	GGXCNL_NGDP	World	General government net lending/borrowing	Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.	Percent of GDP																																														
001	GGSB_NPGDP	World	General government structural balance		Percent of potential GDP																																														
001	GGXONLB_NGDP	World	General government primary net lending/borrowing	Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).	Percent of GDP																																														
001	GGXWDN_NGDP	World	General government net debt	Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.	Percent of GDP																																														
001	GGXWDG_NGDP	World	General government gross debt	Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).	Percent of GDP																																														
001	BCA	World	Current account balance	Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income. Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries.	U.S. dollars	Billions		-61.646	-86.586	-95.671	-76.165	-72.323	-67.558	-67.589	-67.512	-63.811	-92.071	-119.895	-153.053	-136.317	-66.967	-90.547	-70.567	-58.592	-0.440	-73.999	-92.862	-128.771	-151.705	-112.969	-51.880	41.622	76.608	206.311	267.391	91.134	160.253	291.483	345.204	385.861	411.716	420.264	274.013	264.865	298.583	221.029	156.598	109.086	78.841	1.232	
001	BCA_NGDPD	World	Current account balance		Percent of GDP																																														
001	BM	World	Imports of goods and services		U.S. dollars	Billions																																													
001	BX	World	Exports of goods and services		U.S. dollars	Billions																																													
001	BF	World	Financial account balance		U.S. dollars	Billions																																													
001	BFD	World	Direct investment, net		U.S. dollars	Billions																																													
001	BFP	World	Portfolio investment, net		U.S. dollars	Billions																																													
001	BFF	World	Financial derivatives, net		U.S. dollars	Billions																																													
001	BFO	World	Other investment, net		U.S. dollars	Billions																																													
001	BFRA	World	Change in reserves		U.S. dollars	Billions																																													
001	D	World	External debt, total		U.S. dollars	Billions																																													
001	D_NGDPD	World	External debt, total		Percent of GDP																																														
001	D_BX	World	External debt, total		Percent of exports of goods and services																																														
001	DS	World	External debt, total debt service		U.S. dollars	Billions																																													
001	DS_NGDPD	World	External debt, total debt service		Percent of GDP																																														
001	DS_BX	World	External debt, total debt service		Percent of exports of goods and services																																														
001	DSI	World	External debt, total debt service, interest		U.S. dollars	Billions																																													
001	DSI_NGDPD	World	External debt, total debt service, interest		Percent of GDP																																														
001	DSI_BX	World	External debt, total debt service, interest		Percent of exports of goods and services																																														
001	DSP	World	External debt, total debt service, amortization		U.S. dollars	Billions																																													
001	DSP_NGDPD	World	External debt, total debt service, amortization		Percent of GDP																																														
001	DSP_BX	World	External debt, total debt service, amortization		Percent of exports of goods and services																																														
001	PALLFNFW	World	Commodity Price Index includes both Fuel and Non-Fuel Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	55.059	52.712	54.925	59.397	62.309	59.596	47.731	49.871	63.112	58.337	58.220	65.076	80.422	100.000	120.733	134.934	172.451	120.507	152.098	192.054	185.697	182.846	171.532	111.052	99.999	112.318	112.162	111.942	111.443	112.194	113.396	
001	PNFUELW	World	Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices		Index, 2005=100			101.200	90.491	82.544	86.454	85.948	77.183	78.757	88.229	102.438	95.741	94.048	86.884	85.056	85.244	94.114	101.183	99.762	96.168	83.219	76.242	79.200	75.968	77.069	81.890	94.080	100.000	123.258	140.485	151.620	127.429	161.376	190.472	171.245	168.908	162.327	133.951	131.480	140.763	141.519	140.841	138.792	138.563	138.766	
001	PINDUW	World	Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices		Index, 2005=100			72.947	60.709	54.281	61.256	60.698	53.370	56.387	72.080	93.687	90.659	85.951	75.850	74.304	74.936	85.128	94.485	87.108	86.195	71.680	71.261	77.674	72.536	71.321	75.265	89.080	100.000	136.289	154.313	145.676	118.664	169.938	197.733	167.118	163.285	153.656	123.869	117.013	132.348	132.326	131.506	131.067	131.252	131.661	
001	POILAPSP	World	Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel	The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.	U.S. dollars	Units		35.707	34.038	31.544	29.469	28.546	27.371	14.172	18.198	14.769	17.906	22.985	19.368	19.036	16.787	15.948	17.204	20.373	19.268	13.074	17.981	28.234	24.331	24.950	28.892	37.760	53.354	64.273	71.128	97.035	61.777	79.030	104.008	105.007	104.069	96.247	50.793	42.837	50.280	50.165	50.512	51.053	51.888	53.010	
001	POILBRE	World	Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel		U.S. dollars	Units		37.892	36.676	33.418	29.783	28.743	27.611	14.433	18.436	14.975	18.248	23.711	19.982	19.414	16.998	15.826	17.056	20.453	19.116	12.719	17.699	28.308	24.412	24.998	28.853	38.298	54.434	65.390	72.713	97.660	61.861	79.631	110.952	111.960	108.844	98.943	52.399	44.047	51.410	51.427	51.938	52.565	53.436	54.589	
001	POILDUB	World	Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel		U.S. dollars	Units		35.846	34.294	31.757	28.468	27.509	26.508	13.056	16.964	13.360	15.781	20.730	16.607	17.138	14.906	14.832	16.128	18.537	18.102	12.090	17.076	26.085	22.710	23.734	26.733	33.456	49.202	61.432	68.368	93.777	61.755	78.058	106.027	108.919	105.430	96.664	51.232	41.236	50.417	50.296	50.793	51.478	52.423	53.590	
001	POILWTI	World	Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel		U.S. dollars	Units		37.879	36.168	32.670	30.604	29.388	27.992	15.024	19.193	15.972	19.692	24.518	21.512	20.555	18.455	17.183	18.432	22.132	20.585	14.416	19.166	30.315	25.869	26.116	31.095	41.445	56.444	66.053	72.285	99.588	61.690	79.401	95.046	94.143	97.934	93.135	48.748	43.226	49.010	48.773	48.803	49.119	49.804	50.850	
001	PNRGW	World	Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	37.510	33.681	31.998	34.951	40.397	38.200	26.969	34.443	53.701	48.022	47.193	55.238	72.431	100.000	119.256	131.686	184.637	116.457	146.669	192.980	194.152	191.001	176.918	97.655	81.582	95.677	94.987	95.035	95.443	96.767	98.554	
001	POILAPSPW	World	Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh	The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.	Index, 2005=100			66.924	63.797	59.122	55.233	53.503	51.300	26.561	34.109	27.681	33.560	43.080	36.300	35.678	31.463	29.891	32.245	38.185	36.112	24.504	33.701	52.918	45.602	46.763	54.151	70.772	100.000	120.464	133.312	181.870	115.787	148.124	194.939	196.812	195.054	180.393	95.200	80.287	94.238	94.023	94.672	95.688	97.253	99.355	
001	PNGASW	World	Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	38.099	40.460	36.430	39.815	44.563	42.702	34.394	33.774	60.083	60.110	47.971	62.978	69.819	100.000	115.309	116.868	173.657	109.642	113.333	154.308	171.230	164.936	159.948	106.846	70.010	74.679	73.864	73.553	72.563	72.530	72.584	
001	PNGASEU	World	Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	3.810	3.440	2.130	1.900	1.589	2.035	3.008	2.365	2.598	2.312	2.696	2.750	2.670	2.245	1.807	3.454	3.873	2.666	3.486	3.755	5.915	8.213	8.143	13.138	8.855	8.223	10.597	11.981	11.189	10.463	7.305	4.353	5.429	5.541	5.563	5.459	5.452	5.446	
001	PNGASJP	World	Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.744	3.598	3.285	3.557	3.903	3.761	2.754	3.343	5.235	4.669	4.427	4.981	5.891	7.033	8.049	8.411	11.591	7.491	9.381	15.553	18.145	17.339	16.998	10.958	7.439	6.069	5.630	5.630	5.630	5.630	5.630	
001	PNGASUS	World	Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.451	1.751	2.114	1.915	1.704	2.689	2.460	2.088	2.261	4.308	3.959	3.361	5.495	5.908	8.862	6.741	6.976	8.858	3.945	4.389	3.999	2.755	3.725	4.371	2.614	2.492	3.006	3.006	2.846	2.789	2.794	2.827	
001	PCOALW	World	Commodity Coal Price Index includes Australian and South African Coal		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	76.770	76.178	73.287	61.068	63.284	77.317	74.532	68.902	57.697	51.322	52.876	65.586	53.914	57.075	113.094	100.000	105.015	137.468	269.860	148.017	204.576	254.607	200.139	176.863	150.670	123.545	138.361	180.143	170.097	158.832	150.534	150.526	150.434	
001	PCOALAU	World	Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne		U.S. dollars	Units		42.935	50.818	54.768	38.188	30.958	33.750	31.125	27.500	34.875	38.000	39.667	39.667	38.563	31.333	32.300	39.372	38.074	35.099	29.231	25.892	26.250	32.313	27.060	27.954	56.730	50.816	52.731	70.089	138.024	76.160	104.599	129.607	101.443	90.134	75.729	62.693	70.082	91.688	86.300	80.465	76.012	76.000	75.948	
001	PCOALSA	World	Coal, South African export price, US$ per metric tonne		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	32.875	31.500	28.833	26.958	28.563	35.229	33.518	31.349	26.839	24.273	26.570	33.864	26.011	30.076	54.684	45.953	50.583	62.315	120.741	64.559	91.658	116.173	92.924	80.324	72.303	57.097	64.419	82.245	78.667	73.896	70.950	70.975	70.950	
001	PFANDBW	World	Commodity Food and Beverage Price Index includes Food and Beverage Price Indices		Index, 2005=100			129.136	119.947	110.497	111.377	110.917	100.739	100.880	104.172	111.058	100.718	102.006	97.808	95.700	95.448	103.009	107.814	112.290	106.042	94.643	81.174	80.711	79.366	82.761	88.450	99.030	100.000	110.358	126.795	157.505	136.106	152.900	183.283	175.331	174.474	170.911	143.932	145.801	149.095	150.619	150.084	146.439	145.801	145.801	
001	PFOODW	World	Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices		Index, 2005=100			125.055	118.702	108.557	108.002	105.025	95.841	94.246	102.135	110.395	101.123	103.698	99.689	98.292	97.569	100.681	105.790	112.959	103.390	91.959	79.925	81.256	80.854	82.888	88.771	100.583	100.000	110.572	127.173	158.101	134.122	150.373	180.871	176.193	177.404	170.141	140.828	143.838	149.041	150.628	149.409	145.172	144.464	144.464	
001	PCEREW	World	Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley		Index, 2005=100			131.015	136.397	111.683	118.381	115.594	99.170	82.324	79.698	105.461	117.049	103.022	101.349	106.801	99.851	107.025	126.805	148.351	113.571	95.813	82.554	80.124	81.866	96.194	97.864	102.910	100.000	123.147	162.086	225.909	162.287	167.871	234.993	239.648	218.159	180.216	148.980	131.396	134.980	146.612	154.758	156.183	156.183	156.183	
001	PWHEAMT	World	Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne		U.S. dollars	Units		172.726	174.961	160.355	157.416	152.333	135.829	114.916	112.895	145.199	169.243	135.523	128.658	151.161	140.212	149.783	176.960	197.229	149.513	114.465	98.261	100.739	106.373	132.167	131.571	133.456	129.886	168.566	226.885	286.952	190.112	194.500	279.989	276.122	265.751	242.496	185.607	143.161	148.995	166.973	179.789	182.820	182.820	182.820	
001	PMAIZMT	World	Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne		U.S. dollars	Units		125.716	130.604	108.099	135.984	135.820	112.331	87.791	75.521	106.950	111.368	109.280	107.473	104.213	102.040	107.778	123.451	164.523	117.172	101.618	90.294	88.219	89.609	99.333	105.187	111.778	98.406	121.589	163.259	223.248	165.542	186.007	291.781	298.410	258.957	192.881	169.785	159.161	155.709	162.215	172.165	172.165	172.165	172.165	
001	PRICENPQ	World	Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne		U.S. dollars	Units		433.667	482.833	293.375	276.833	252.250	217.417	195.667	214.417	277.250	299.750	270.667	293.667	267.667	237.250	269.458	320.801	338.064	302.469	305.424	248.968	203.695	172.705	191.826	199.461	245.783	287.811	303.515	332.393	700.200	589.376	520.556	551.711	580.236	518.812	426.475	380.047	388.265	421.421	472.148	472.148	472.148	472.148	472.148	
001	PBARL	World	Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne		U.S. dollars	Units		78.229	79.726	63.712	70.891	78.723	58.816	47.560	55.001	70.333	75.139	79.926	78.287	78.675	71.377	72.649	104.012	119.665	97.237	85.054	75.937	77.235	93.936	108.967	104.718	98.989	95.077	116.615	172.381	200.476	128.381	158.374	207.219	238.229	206.360	146.089	127.865	129.388	135.878	138.553	147.400	152.080	152.080	152.080	
001	PVOILW	World	Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices		Index, 2005=100			110.392	107.202	87.665	102.129	110.604	85.953	71.903	76.267	103.344	92.512	86.029	84.721	83.989	90.705	98.748	103.527	113.914	114.545	103.033	77.837	74.406	71.491	82.547	98.821	114.007	100.000	103.425	143.434	192.542	153.973	170.374	209.123	215.715	206.506	190.489	152.834	155.865	153.534	152.025	152.892	152.925	152.925	152.925	
001	PSOYB	World	Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne		U.S. dollars	Units		265.316	261.404	221.290	259.616	257.505	202.979	188.948	195.506	279.724	246.986	219.100	208.779	209.803	230.138	229.510	224.015	277.458	280.603	223.290	174.919	183.052	168.755	188.866	233.208	276.700	223.134	217.454	317.320	453.314	378.549	384.947	484.246	537.762	517.204	457.814	347.356	362.707	352.543	347.164	348.921	348.921	348.921	348.921	
001	PSMEA	World	Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne		U.S. dollars	Units		225.683	225.244	195.434	222.666	191.197	145.411	166.902	184.496	259.845	234.045	192.387	192.332	196.301	216.526	199.013	198.546	266.379	279.875	174.727	152.565	187.170	180.612	183.981	214.656	257.205	205.762	193.975	263.673	367.938	359.270	331.317	378.861	473.284	477.299	466.966	352.722	350.168	342.236	337.018	343.259	344.910	344.910	344.910	
001	PSOIL	World	Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne		U.S. dollars	Units		535.465	493.376	403.262	511.251	647.938	571.603	364.387	366.904	529.660	453.454	492.145	446.693	433.189	503.149	603.037	584.684	544.229	525.857	562.490	392.404	351.821	346.989	409.839	500.283	590.452	495.747	551.496	799.742	1,133.785	787.020	924.828	1,215.820	1,151.752	1,011.113	812.710	672.165	721.164	726.739	735.885	734.556	728.410	728.410	728.410	
001	PROIL	World	Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton		U.S. dollars	Units		572.368	484.714	418.538	501.561	688.345	540.950	359.387	347.333	537.970	476.598	428.487	416.553	405.098	460.883	621.263	632.711	563.070	562.833	630.475	428.688	346.240	391.879	479.183	603.578	713.201	720.966	851.318	1,011.855	1,423.710	856.178	1,011.748	1,366.627	1,239.081	1,081.219	904.368	774.609	821.951	859.433	866.080	866.080	866.080	866.080	866.080	
001	PPOIL	World	Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne		U.S. dollars	Units		481.840	471.579	367.801	414.353	602.283	413.940	212.376	283.030	361.259	289.572	239.508	280.138	325.330	312.142	437.271	537.622	467.152	490.428	600.847	377.277	261.144	238.398	356.744	410.373	434.723	367.687	416.814	719.122	862.918	644.068	859.942	1,076.502	939.834	764.197	739.408	565.090	639.846	640.408	621.721	624.032	624.032	624.032	624.032	
