Country,Subject Descriptor,Subject Notes,Units,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
The Gambia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.676,6.495,5.829,5.222,5.022,5.000,5.000,2018.0
Georgia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.997,3.500,3.000,3.000,3.000,3.000,3.000,2019.0
Germany,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.530,0.324,1.200,1.423,1.623,1.845,1.968,2019.0
Ghana,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.902,11.608,8.654,7.400,6.200,6.000,6.000,2018.0
Greece,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.050,-1.101,1.240,0.885,1.563,1.563,1.563,2019.0
Grenada,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.073,-0.765,1.182,1.700,1.875,1.876,1.875,2019.0
Guatemala,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.406,2.308,3.121,3.799,4.022,4.033,4.067,2019.0
Guinea,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.122,8.700,8.000,7.900,7.800,7.800,7.800,2019.0
Guinea-Bissau,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.095,2.550,2.000,2.000,2.000,2.000,2.000,2018.0
Guyana,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.061,1.324,2.918,2.549,2.427,3.103,3.103,2019.0
Haiti,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,19.675,24.973,22.000,19.000,16.000,13.000,10.000,2019.0
Honduras,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.084,3.240,4.200,4.000,4.000,4.000,4.000,2019.0
Hong Kong SAR,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.865,0.300,2.400,2.500,2.400,2.400,2.400,2019.0
Hungary,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.033,3.732,3.092,2.990,3.041,2.989,2.989,2019.0
Iceland,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.033,3.121,2.500,2.500,2.500,2.500,2.500,2018.0
India,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.668,3.399,3.972,3.720,3.872,3.943,4.047,2020.0
Indonesia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.586,1.502,2.102,2.993,2.984,2.984,2.984,2019.0
Islamic Republic of Iran,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,26.031,35.000,25.000,25.000,25.000,25.000,25.000,2019.0
Iraq,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.096,1.000,1.000,1.500,1.800,1.800,2.000,2019.0
Ireland,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.088,0.700,0.600,1.900,2.000,2.000,2.000,2019.0
Israel,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.601,-0.595,0.459,0.501,0.803,0.803,0.803,2019.0
Italy,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.484,0.130,0.607,0.922,1.048,1.232,1.351,2019.0
Jamaica,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.219,4.100,5.700,5.400,5.200,5.000,5.000,2019.0
Japan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.473,-0.648,0.665,1.064,0.601,0.963,1.004,2019.0
Jordan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.680,-1.706,1.401,1.700,2.526,2.500,2.501,2019.0
Kazakhstan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.400,7.509,5.909,5.009,4.509,4.009,4.009,2019.0
Kenya,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.820,4.500,5.000,5.011,5.011,5.011,5.000,2019.0
Kiribati,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.167,1.167,1.945,2.262,2.230,2.394,2.313,2017.0
Korea,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.738,0.400,0.800,1.100,1.300,1.500,2.000,2019.0
Kosovo,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.178,1.520,1.152,1.822,0.261,0.356,0.296,2019.0
Kuwait,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.498,1.400,2.500,2.500,2.500,2.500,2.500,2019.0
Kyrgyz Republic,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.056,7.724,7.014,4.952,4.952,4.952,4.952,2019.0
Lao P.D.R.,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.287,6.300,3.500,3.100,3.100,3.100,3.100,2019.0
Latvia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.137,1.267,2.203,2.220,2.216,2.197,2.180,2019.0
Lebanon,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.960,144.506,,,,,,2020.0
Lesotho,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.981,4.500,5.033,4.900,4.900,4.900,4.884,2018.0
Liberia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,20.251,11.000,8.000,6.000,5.000,5.000,5.000,2019.0
Libya,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.563,22.256,15.119,15.119,12.209,12.209,12.209,2019.0
Lithuania,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.730,1.277,1.737,1.869,2.012,2.112,2.089,2019.0
Luxembourg,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.840,0.540,1.300,1.700,1.800,1.900,1.900,2019.0
Macao SAR,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.561,1.700,1.800,2.300,2.600,2.800,2.800,2019.0
Madagascar,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.975,5.200,5.500,5.600,5.600,5.550,5.500,2019.0
Malawi,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.527,9.170,9.483,6.619,4.954,4.976,4.985,2019.0
Malaysia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.991,-1.126,2.416,1.908,1.940,2.013,2.013,2019.0
Maldives,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.305,1.506,2.118,2.015,2.015,2.015,2.015,2019.0
Mali,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-3.332,1.848,1.700,2.000,2.000,2.000,2.000,2018.0
Malta,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.283,0.501,1.563,1.455,1.571,1.740,2.005,2019.0
Marshall Islands,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.200,0.900,1.100,1.500,2.000,2.000,2.000,2018.0
Mauritania,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.702,5.000,4.000,4.000,4.000,4.000,4.000,2019.0
Mauritius,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.879,3.500,3.686,3.486,3.386,3.336,3.311,2018.0
Mexico,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.829,3.664,2.924,2.976,2.992,2.998,2.999,2019.0
Micronesia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.863,-0.849,2.538,2.000,2.000,2.000,2.000,2018.0
Moldova,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.500,0.500,6.000,5.000,5.000,5.000,5.000,2019.0
Mongolia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.172,4.500,6.578,7.163,7.412,7.517,7.453,2019.0
Montenegro,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.052,-0.377,0.930,1.273,1.460,1.632,1.748,2019.0
Morocco,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.027,0.200,0.800,1.200,1.600,1.800,2.000,2019.0
Mozambique,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.503,4.362,5.501,5.501,5.501,5.501,5.500,2019.0
Myanmar,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.511,3.344,7.710,5.701,6.404,6.404,6.404,2019.0
Namibia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.588,2.929,3.411,4.300,4.500,4.500,4.500,2019.0
Nauru,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.519,-0.900,1.200,1.400,1.700,1.900,1.950,2020.0
Nepal,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.021,6.000,6.000,5.600,5.500,5.300,5.300,2019.0
Netherlands,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.817,1.332,1.489,1.545,1.600,1.650,1.700,2019.0
New Zealand,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.854,1.695,-0.001,1.508,0.500,0.100,0.500,2019.0
Nicaragua,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.130,3.951,3.500,3.500,3.500,3.500,3.500,2019.0
Niger,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.317,2.201,2.000,2.000,2.000,2.000,2.000,2019.0
Nigeria,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.982,13.703,11.649,11.100,10.900,10.800,10.500,2019.0
North Macedonia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.434,1.000,1.400,1.600,1.800,2.000,2.200,2019.0
Norway,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.366,2.000,1.800,1.800,2.000,2.000,2.000,2019.0
Oman,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.134,1.000,3.400,3.000,2.800,2.500,2.500,2019.0
Pakistan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.000,8.592,10.248,6.775,6.662,6.490,6.537,2020.0
Palau,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.374,0.000,0.000,1.000,1.500,2.000,2.000,2019.0
Panama,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.064,-0.500,0.500,2.000,2.000,2.000,2.000,2019.0
Papua New Guinea,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.735,3.645,4.356,4.665,3.468,3.159,3.159,2015.0
Paraguay,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.810,3.008,3.308,3.308,3.308,3.308,3.308,2018.0
Peru,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.900,1.759,2.003,1.972,1.972,1.972,1.972,2019.0
Philippines,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.523,2.600,3.300,3.000,3.000,3.000,3.000,2019.0
Poland,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.400,2.225,2.001,1.808,2.100,2.300,2.500,2019.0
Portugal,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.369,-0.022,1.185,1.054,1.241,1.375,-0.096,2019.0
Puerto Rico,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.529,-1.622,0.562,1.055,1.097,1.150,1.179,2019.0
Qatar,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,,,,,,
Romania,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.047,2.682,2.672,2.672,2.672,2.549,2.549,2019.0
Russia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.046,3.771,3.319,3.700,4.000,4.000,4.000,2019.0
Rwanda,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.731,5.000,5.000,5.000,5.000,5.000,5.000,2019.0
Samoa,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.087,2.900,1.900,2.900,2.800,2.812,2.832,2019.0
San Marino,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.750,0.498,0.771,0.940,1.007,1.097,1.158,2018.0
São Tomé and Príncipe,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.724,8.000,8.000,4.000,3.000,3.000,3.000,2019.0
Saudi Arabia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.110,3.575,3.701,2.012,1.963,2.024,2.024,2019.0
Senegal,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.638,2.514,0.905,2.786,0.430,2.411,0.741,2019.0
Serbia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.850,1.600,2.000,2.300,2.600,2.900,3.000,2019.0
Seychelles,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.692,6.588,3.014,2.942,3.042,3.042,3.042,2019.0
Sierra Leone,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,13.892,17.500,13.500,11.100,9.800,8.750,8.000,2019.0
Singapore,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.761,-0.499,0.733,1.101,1.380,1.427,1.459,2019.0
Slovak Republic,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.217,0.214,1.791,1.949,1.972,1.986,1.986,2019.0
Slovenia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.841,1.200,1.584,1.559,1.913,1.926,1.986,2019.0
Solomon Islands,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.817,3.095,3.528,3.420,3.834,3.982,4.333,2019.0
Somalia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.130,3.000,2.500,2.176,2.179,2.226,2.226,2019.0
South Africa,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.745,3.333,4.300,4.300,4.500,4.500,4.500,2019.0
South Sudan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,30.019,20.000,23.836,17.272,10.604,14.000,12.000,2019.0
Spain,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.788,-0.309,0.806,1.632,1.582,1.635,1.692,2019.0
Sri Lanka,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.830,4.500,4.800,5.000,5.000,5.000,5.000,2019.0
St. Kitts and Nevis,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.390,0.984,1.279,1.967,1.967,1.967,1.967,2019.0
St. Lucia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.873,1.534,2.134,2.000,2.000,2.000,2.000,2018.0
St. Vincent and the Grenadines,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.451,1.536,1.998,1.998,1.998,1.998,1.998,2019.0
Sudan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,57.011,198.908,103.012,36.729,21.249,17.860,15.950,2019.0
